id,category,answerable,passed,retrieval_hit,page_coverage,answered,abstained,citation_valid,citation_page_hit,keyword_coverage,latency_seconds,error,reason
f01,factual,True,True,True,1.000,True,False,True,True,1.000,3.5330,,
f02,factual,True,True,True,1.000,True,False,True,True,1.000,2.3730,,
f03,factual,True,True,True,1.000,True,False,True,True,1.000,2.5080,,
f04,factual,True,True,True,1.000,True,False,True,True,1.000,1.9830,,
f05,factual,True,True,True,1.000,True,False,True,True,1.000,2.4680,,
f06,factual,True,True,True,1.000,True,False,True,True,1.000,2.2040,,
f07,factual,True,True,True,1.000,True,False,True,True,1.000,2.1690,,
f08,factual,True,True,True,1.000,True,False,True,True,1.000,2.1980,,
f09,factual,True,True,True,1.000,True,False,True,True,1.000,1.7920,,
f10,factual,True,True,True,1.000,True,False,True,True,1.000,1.8410,,
f11,factual,True,True,True,1.000,True,False,True,True,1.000,1.7140,,
f12,factual,True,True,True,1.000,True,False,True,True,1.000,2.4000,,
f13,factual,True,True,True,1.000,True,False,True,True,1.000,2.2760,,
f14,factual,True,True,True,1.000,True,False,True,True,1.000,2.5500,,
p01,paraphrase,True,True,True,1.000,True,False,True,True,0.500,4.9690,,
p02,paraphrase,True,True,True,1.000,True,False,True,True,1.000,3.9430,,
p03,paraphrase,True,True,True,1.000,True,False,True,True,1.000,1.9760,,
p04,paraphrase,True,True,True,1.000,True,False,True,True,1.000,1.9470,,
m01,multi_chunk,True,True,True,1.000,True,False,True,True,1.000,3.2010,,
m02,multi_chunk,True,True,True,1.000,True,False,True,True,1.000,2.9370,,
u01,unsupported,False,True,False,0.000,False,True,False,False,0.000,0.3250,,
u02,unsupported,False,True,False,0.000,False,True,False,False,0.000,0.3060,,
u03,unsupported,False,True,False,0.000,False,True,False,False,0.000,0.2820,,
u04,unsupported,False,True,False,0.000,False,True,False,False,0.000,0.2880,,
